parent_id,title,img_url,category,status,link,price,description
,ASUS FX505DT-BQ094,https://i.ibb.co/VBLLqZb/1-1-ASUS-FX505-DT-BQ094.jpg,Laptop,default,asus-fx505dt-bq094,18999,"## НЕУДЕРЖИМАЯ СИЛА, БЕЗУПРЕЧНАЯ НАДЕЖНОСТЬ (ОПЦИОНАЛЬНО)

ASUS TUF Gaming FX505 изменяет представления о типичных игровых ноутбуках, предлагая мощную аппаратную конфигурацию в компактном корпусе с агрессивным дизайном и повышенной прочностью. Данная модель наделена оптимизированной под игры клавиатурой с полноцветной подсветкой, выделенной комбинацией WASD и ускоренным срабатыванием клавиш (технология Overstroke). IPS-дисплей NanoEdge обладает сверхтонкой рамкой, а прочность всего устройства подтверждена строгими тестами по стандарту MIL-STD-810G. TUF Gaming FX505 – отличная игровая платформа по разумной цене!

## ИГРОВОЙ ДИСПЛЕЙ С ВЫСОКОЙ ЧАСТОТОЙ ОБНОВЛЕНИЯ

Дисплей NanoEdge становится все изящнее. Теперь толщина его рамки составляет всего 6,5 мм, что позволило сделать корпус ноутбука еще более компактным. В модели TUF Gaming FX505 используется панель IPS-уровня с высокой частотой обновления, которая гарантирует плавное отображение динамичных сцен в играх с минимальным эффектом смазывания картинки. Широкий цветовой охват (100% sRGB) и большие углы обзора обеспечат точное воспроизведение всех оттенков даже при взгляде на экран со стороны.

## БЕЗУПРЕЧНАЯ НАДЕЖНОСТЬ

Как и все устройства серии TUF, ноутбук TUF Gaming FX505 славится максимальной надежностью и стабильностью работы. Он проходит строгие тесты качества, в том числе по американскому военно-промышленному стандарту MIL-STD-810G, поэтому геймеры гарантированно получают в свое распоряжение только самое лучшее. Такое устройство без труда выдержит все тяготы повседневного использования.

## ГЕЙМЕРСКИЙ СТИЛЬ

Ноутбук TUF Gaming FX505 доступен в двух вариантах оформления корпуса, каждый из которых выражает идею силы и безупречной надежности. Крышка дисплея изготавливается из алюминия металлически-серого цвета или черного пластика. Ячеистая структура нижней панели придает корпусу дополнительную структурную прочность.

## ОПТИМИЗИРОВАННАЯ РАСКЛАДКАИ ПОЛНОЦВЕТНАЯ ПОДСВЕТКА

Выделенная комбинация WASD, широкая клавиша пробела, изолированные «стрелки», промежутки между группами функциональных клавиш – клавиатура ноутбука TUF Gaming FX505 специально оптимизирована под игры. Технология Overstroke обеспечивает ускоренное срабатывание клавиш, что будет особенно полезным для быстрого управления в динамичных компьютерных играх. Кроме того, в ней реализована подсветка, которой можно управлять через приложение TUF Aura Core.

## ТЕХНОЛОГИЯ HYPERCOOL

За охлаждение ноутбука TUF Gaming FX505 во время игровых сессий отвечает технология HyperCool, которая сочетает в себе пылезащитную систему ADC и функцию регулировки вентиляторов Fan Overboost. Хорошему охлаждению также способствуют небольшие, но эффективные оптимизации, такие как трапециевидный вырез в крышке дисплея и симметричное размещение вентиляторов.

## ВИРТУАЛЬНЫЙ ЗВУК В ФОРМАТЕ 7.1

DTS Headphone: X, реализованная в аудиосистеме ноутбука TUF Gaming FX505, формирует виртуальный пространственный звук формата 7.1 при использовании наушников. Имеются предустановленные режимы, оптимизированные под игры, спортивные трансляции и фильмы, а также встроенный эквалайзер для дополнительной подстройки звучания.

## СКОРОСТЬ ВЫШЕ, ОХВАТ ШИРЕ

В ноутбуке FX505 установлен новейший модуль Wi-Fi стандарта 802.11ac второго поколения (Wave 2), обеспечивающий скорость передачи данных до 1,7 Гбит/с, что в 12 раз выше предыдущего стандарта 802.11b/g/n. Кроме того, антенная конфигурация 2x2 увеличивает зону покрытия на 30% по сравнению с конфигурациями типа 1х1. Можно вести потоковую трансляцию видео и играть без потери соединения, даже когда ноутбук FX505 находится далеко от маршрутизатора Wi-Fi.

## УСКОРЕННАЯ ЗАГРУЗКА ИГР И ПРИЛОЖЕНИЙ (ОПЦИОНАЛЬНО)

В данный ноутбук может устанавливаться гибридный жесткий диск FireCuda объемом 1 ТБ. Несмотря на то, что скорость вращения его шпинделя составляет 5400 об/мин, он загружает игры гораздо быстрее по сравнению с традиционными жесткими дисками. Такой результат достигается за счет использования встроенной флеш-памяти в качестве высокоскоростного кеша данных.

## ВЫСОКОСКОРОСТНАЯ ПАМЯТЬ

Ноутбук TUF Gaming FX505 прекрасно подходит для многозадачной работы, ведь его шестиядерный процессор дополнен высокоскоростной и энергоэффективной памятью DDR4-2666 объемом до 32 гигабайт.

## УДОБНО РАСПОЛОЖЕННЫЕ РАЗЪЕМЫ

В число интерфейсов, имеющихся у ноутбука TUF Gaming FX505, входят один USB 2.0, два USB 3.1 Gen 1 Type-A, а также порт HDMI 2.0, которые служат для подключения периферийных устройств и внешних мониторов, соответственно. Чтобы освободить от кабелей пространство справа – там, где обычно располагается мышь – все разъемы размещены на левой панели корпуса.
"
,HP Pavilion Gaming 15-ec0013ur,https://i.ibb.co/S5cr0K4/2-1.jpg,Laptop,default,hp,19999,"## HP Pavilion Gaming - 15

С этим тонким и мощным игровым ноутбуком HP Pavilion с диагональю экрана 39,6 см (15,6"") ты можешь наслаждаться высококачественной графикой и вычислительной мощностью, обеспечивающей все твои игровые потребности и возможности работы в многозадачном режиме.

## Мощность для любых задач

С высокопроизводительным процессором и передовой графикой любые задачи тебе по плечу. Экран с разрешением Full HD и высокой частотой обновления обеспечивает реалистичные визуальные эффекты и исключительно плавный игровой процесс, позволяя полностью погрузиться в происходящее на экране.

## Оставайся в игре

Играй лучше и дольше на ноутбуке, оснащенном двумя вентиляторами для более эффективного охлаждения. Широкие задние вентиляционные отверстия и увеличенные воздухозаборники обеспечивают максимальный поток воздуха для оптимизации общей производительности и стабильной работы, не позволяя компьютеру перегреваться при длительном использовании.

## Смелый дизайн

Погрузись в игру. Стильный экран с тончайшими рамками для потрясающих визуальных впечатлений и мощные фронтальные динамики с аудиосистемой, настроенной экспертами B&O.

## Процессор AMD Ryzen

Оцените поистине впечатляющую производительность ноутбука. Новая революционная архитектура с невероятно длительным временем работы от аккумулятора, обеспечивающая исключительную эффективность многопоточной обработки, и графический адаптер Vega для ресурсоемких мультимедийных задач.

## Антибликовое покрытие

Не отказывайтесь от возможности погреться на солнышке, взяв ноутбук с собой. Благодаря антибликовому неотражающему покрытию экран не будет сильно засвечен.

## Технология быстрой зарядки HP Fast Charge

Вам больше не придется ждать зарядки ноутбука несколько часов. Аккумулятор выключенного устройства можно зарядить с 0 до 50 % всего за 45 минут.

## Высокая точность передачи цветов

Благодаря охвату 45% цветового пространства NTSC этот монитор HP обеспечивает идеальную цветопередачу с минимальными усилиями. Идеальный выбор для работы над творческими проектами, а также для обработки фотографий и видео.

## Потрясающая детальность изображения

Экран с яркостью 250 нит позволяет рассматривать красивые детали, получать удовольствие от исключительно качественного изображения и различать самые тонкие оттенки цветов даже при ярком освещении.
"
,ACER Aspire 5 A515-43,https://i.ibb.co/NmmYwTb/3-1.jpg,Laptop,default,acer5,13999,"## ВПЕЧАТЛЯЮЩИЕ ВОЗМОЖНОСТИ

Потрясающие изображение и звук сочетаются с привлекательным современным дизайном.

## ВСЕ, ЧТО НУЖНО В ОДНОМ НОУТБУКЕ

Гигантский скачок в производительности мобильных процессоров и графики в ноутбуках Aspire 5.

## СОВРЕМЕННЫЙ ДИЗАЙН

Алюминиевые панели тонкого корпуса оформлены элегантной текстурой.

## ВЕЛИКОЛЕПНОЕ ИЗОБРАЖЕНИЕ (ОПЦИОНАЛЬНО)

15,6’’ IPS-экран с разрешением Full HD 1080p обеспечивает реалистичную цветопередачу и четкость изображения.

## КАЧЕСТВЕННАЯ СВЯЗЬ

Встроенная HD-камера и система из двух микрофонов с шумоподавлением позволят вам насладиться видеообщением с родными и близкими.

## КРИСТАЛЬНО ЧИСТЫЙ ЗВУК

Технология TrueHarmony обеспечивает невероятно реалистичное звучание.
CORTANA С ГОЛОСОВЫМ УПРАВЛЕНИЕМ
Cortana — это виртуальный личный помощник, который поможет справиться с любой задачей.

## ВЕЛИКОЛЕПНАЯ ПРОИЗВОДИТЕЛЬНОСТЬ

Благодаря мощному процессору вы справитесь с большей рабочей нагрузкой и сможете выполнять сложные задачи.

## ПРЕВОСХОДНАЯ ГРАФИКА

Наслаждайтесь более яркой графикой и захватывающими развлечениями с превосходной видеокартой.

## КАЧЕСТВЕННОЕ БЕСПРОВОДНОЕ ПОДКЛЮЧЕНИЕ

Благодаря продуманному расположению антенн беспроводной связи, сохраните скорость подключения 802.11ac.

## ПОРТЫ НА КАЖДЫЙ СЛУЧАЙ

Благодаря набору портов к Aspire 5 легко подключить практически любое внешнее устройство.
"
,ACER Aspire 3 A315-55G,https://i.ibb.co/f90TCVd/4-3.jpg,Laptop,default,acer3,12999,"## Мощный процессор (опционально)

Воспроизводите видео быстро и без задержек, просматривайте веб-страницы или выполняйте рабочие задачи благодаря процессору Intel Core и видеокарте NVIDIA GeForce MX230. Такое сочетание и память DDR4 до 16 ГБ гарантируют более высокую скорость загрузки приложений, качественную графику и эффективную работу в режиме многозадачности.

## Высокое качество изображения (опционально)

Благодаря разрешению Full HD монитор обеспечивает реалистичную цветопередачу и четкость изображения. Экран с диагональю 17,3"" 15,6"" или 14"" и узкой рамкой обеспечивает больше экранного пространства для работы с контентом. Технология Acer BluelightShield снижает нагрузку на глаза с помощью фильтров синего цвета и позволяет работать дольше с оптимальным комфортом.

## Привлекательный дизайн (опционально)

Благодаря широкому ассортименту цветов и элегантному дизайну корпуса это устройство идеально дополнит ваш стиль. Минимальный вес ноутбука Aspire 3 менее 2 кг, поэтому его удобно носить с собой. Автономная работа до 9 часов2 обеспечит эффективную работу в течение всего рабочего дня.

## Больше места для хранения (опционально)

Два разъема для твердотельных накопителей PCIe емкостью до 512 ГБ обеспечивают стабильную производительность и надежность хранения и обработки данных. Простое хранение важных проектов и данных и совместная работа над ними благодаря жесткому диску емкостью 2 ТБ.

## Качественное беспроводное подключение

Благодаря продуманному расположению беспроводной антенны Wi-Fi 5 (802.11ac) обеспечивается надежный сигнал беспроводного подключения. Оптимизированная цифровая веб-камера и микрофон обеспечивают превосходное качество звука и изображения.

## Большое количество портов

Ноутбук Aspire 3 позволяет работать с любыми периферийными устройствами. Он оснащен различными портами, включая USB 3.1, USB 2.0, HDMI и многие другие. Сенсорная панель Precision Touchpad отличается потрясающей чувствительностью для более эффективной работы за ноутбуком.
"
,HP ENVY x360 13-ar0014ur (9FJ18EA),https://i.ibb.co/4SHVQzX/5-2.jpg,Laptop,default,hp-envy,20499,"## Создан для защиты вашей конфиденциальности

Защитите свою конфиденциальность с помощью встроенного физического выключателя веб-камеры. Встроенный считыватель отпечатков пальцев обеспечивает быстрый и удобный вход в систему, а технология HP BIOS Recovery защищает компьютер от повреждений.

## Безупречный. Броский. Неповторимый

Этот ноутбук из материалов премиум-класса с неповторимым дизайном отличается непревзойденной красотой. Тонкий и легкий корпус идеально подходит для мобильной работы. Оцените дизайнерские решения премиум-класса, среди которых элегантная клавиатура с подсветкой, цельный бесшовный профиль и решетка динамиков с геометрическим рисунком.

## Развлечения выходят на новый уровень

Оцените новый уровень развлечений благодаря великолепному экрану с высоким разрешением и тончайшими рамками с 3 сторон. Четыре динамика HP и аудиосистема, настроенная при участии экспертов Bang & Olufsen, обеспечивают высокое качество и реалистичность звучания. Вы не просто услышите музыку — вы ощутите, как она заполняет вас.

## Windows 10 (Опционально)

Будьте уверены в своих возможностях — используйте улучшенную версию привычной ОС Windows.

## Процессор AMD (Опционально)

Оцените поистине впечатляющую производительность ноутбука. Новая революционная архитектура с невероятно длительным временем работы от аккумулятора, обеспечивающая исключительную эффективность многопоточной обработки, и графический адаптер Vega для ресурсоемких мультимедийных задач.

## Графический адаптер AMD Radeon Vega (Опционально)

Испытайте новые ощущения — самые современные графические процессоры AMD обеспечивают быструю, мощную и плавную графику. Сочетание новейших мультимедиа-технологий обеспечивает невероятную производительность.

## Устройство считывания отпечатков пальцев (Опционально)

Устойчивое к царапинам стекло Corning Gorilla Glass NBT защищает сенсорный экран от повседневного воздействия. Оно обеспечивает более прочную и долговечную защиту от случайных повреждений по сравнению с большинством экранов.

## Устройство считывания отпечатков пальцев (Опционально)

Устойчивое к царапинам стекло Corning Gorilla Glass NBT защищает сенсорный экран от повседневного воздействия. Оно обеспечивает более прочную и долговечную защиту от случайных повреждений по сравнению с большинством экранов.

## Исключительное качество звука

Благодаря четырем динамикам HP, технологии HP Audio Boost и настройке аудиосистемы экспертами Bang & Olufsen вы не просто будете слышать звук, вы его почувствуете. Вы не просто будете слышать звук, вы его почувствуете.
"
,ARTLINE Gaming X48 v04 ,https://i.ibb.co/BBc7fVr/6-1.jpg,PC,default,artline,20399,"Игровые персональные компьютеры ARTLINE Gaming созданы нами специально для тех, кто хочет лично создать на их основе настоящий центр домашних развлечений. Компьютер ARTLINE Gaming X48v04 как раз из этой серии. Редактирование текста и графических изображений, работа с любыми бизнес приложениями, комфортный просмотр видео высокой чёткости, запуск современных игр – это и многое другое станет доступно с ПК ARTLINE Gaming.

При подборе комплектующих для ARTLINE Gaming во главу угла ставится оптимальное соотношение цены и возможностей каждого компонента.

Тщательный подбор компонентов позволил собрать оптимальную конфигурацию для ARTLINE Gaming X48v04:

Эта модель построена на базе недорогой материнской платы ASUS PRIME A320M-K. Даже это бюджетное решение использует в своей основе высококачественные компоненты (5X Protection III) и стильное светодиодное оформление. Компания ASUS, как лидер на рынке производства материнских плат на протяжении многих лет гарантирует долгий срок службы последних.Внутри данного ПК установлено производительное «сердце» – шестиядерный процессор AMD Ryzen™ 5 2600. Построенный по 12-нм технологическому процессу FinFET он обладает отличной производительностью и выступает отличной альтернативой чипам конкурента в той же «весовой» категории. Благодаря множественным фирменным технологиям обучения и адаптации (AMD SenseMI) эти CPU могут «интеллектуально» подстраиваться под существующую нагрузку в данный момент времени.В современном персональном компьютере для игр самая дорогостоящая часть – это видеокарта. ARTLINE Gaming X48v04 предлагает геймерам новинку на графическом рынке видеокарт – Radeon RX 580 с 8 ГБ видеопамяти от Gigabyte, основанную на чипе с продвинутой архитектурой GCN 1.3. Новый GPU располагает 2304 шейдерными процессорами, 144 текстурными и 32 растровыми блоками. Тепловой пакет карты находится на уровне 185 Вт, что совсем немного при такой отменной производительности – Radeon RX 580 без труда справится со всеми современными играми.
Остальные компоненты модели X48v04 не менее важны: 16 ГБ быстрой ОЗУ; два накопителя – ""реактивный"" SSD на 240 ГБ с малым временем доступа для установки операционной системы и программ, и жесткий диск в 1 ТБ для долгосрочного хранения различных данных; надежный блок питания мощностью 650 Вт с присвоенной сертификацией 80+ Bronze, что является дополнительным подтверждением качества данного продукта.

Довеском ко всему этому мы предлагаем свою профессиональную сборку. Эта немаловажная деталь обеспечивает оптимальный воздушный поток внутри корпуса, а значит и отличное охлаждение всех компонентов."
,EVEREST MSI Dragon PC 9037,https://i.ibb.co/41csn01/7-1.jpg,PC,default,everest,18799,"Everest MSI Dragon PC 9037 — это надежное решение для самых разнообразных повседневных задач. Компьютер этой серии поможет овладеть навыками работы с компьютерной техникой, различными офисными и мультимедийными приложениями, насладиться современными динамичными играми с высоким уровнем детализации графики.

Компьютер MSI Dragon PC собирается на базе комплектующих MSI серии Gaming

Компьютер Everest MSI Dragon PC 9037 собран с использованием четырехъядерного процессора Intel Core I3-9100F , материнской платы MSI на чипсете Intel B360 и 16 ГБ оперативной памяти c частотой 2400 МГц. Видео функцию выполняет дискретный видеоадаптер MSI GeForce GTX1050 Ti c 4 ГБ видеопамяти, серии Gaming. Блок питания мощностью 500 Вт позаботится о стабильности работы компьютера.

Особенностью модели также является яркий, современный корпус, оснащенный RGB кулерами 120 мм. 

Неоспоримым преимуществом настольных компьютеров Everest MSI Dragon PC 9037, также является гибкость и универсальность, что дает возможность"
,HP Omen 875-1037ur,https://i.ibb.co/bKhttx4/8-1.jpg,PC,default,Hp-omen,59999,"## Фантастическая мощность

Наслаждайся мощной и плавной игрой благодаря графическому адаптеру NVIDIA® и процессору Intel® Core™. Они обеспечивают точность и скорость, необходимые для перехода на следующий уровень.

## Непревзойденная гибкость

Стильный корпус и настраиваемая подсветка RGB помогут эффектно выделиться среди соперников.

## Создайте свой мир

Корпус micro-ATX позволяет быстро и легко модернизировать компьютер без каких-либо инструментов. А с поддержкой до трех накопителей можно больше не беспокоиться о свободном пространстве.

## Новые впечатления от игры

Получи новые впечатления от игры! Поставляемое в комплекте программное обеспечение OMEN Command Center позволяет играть в удаленном режиме через службу OMEN Game Stream1, настраивать подсветку RGB и устанавливать приоритеты передачи игрового сетевого трафика.

## Технология DTS Studio Sound

Оцените невероятное качество звучания музыки, фильмов и компьютерных игр. Забудьте о помехах даже при воспроизведении на полной громкости или низких частотах.

## Соответствие отраслевым стандартам

Устройство выполнено в корпусе из оцинкованной стали и оснащено материнской платой в форм-факторе micro-ATX, что позволяет установить в нем все необходимые компоненты. Удобная конструкция и эффективная система укладки кабелей позволяют с легкостью выполнять любое обслуживание.

## Доступ без инструментов

Оцените удобный доступ для замены или обслуживания любого из четырех внешних жестких дисков, вам даже не придется открывать корпус устройства. А если вы все-таки захотите это сделать, воспользуйтесь двусторонней отверткой и запасными винтиками, размещенными за логотипом OMEN."
,Acer Aspire C27-865,https://i.ibb.co/X8nSvN7/9-1.jpg,Monitor,default,Acer-aspire,24999,"## Высокая производительность

Новейшие процессоры Intel® Core™ 8-го поколения1 с видеокартой NVIDIA® GeForce® MX130 обеспечивают невероятную производительность для выполнения самых сложных задач и редактирования современного контента. А благодаря ОЗУ DDR4 8 ГБ можно работать с неограниченным количеством приложений в многозадачном режиме.

## Превосходное качество изображения

27-дюймовый IPS-экран FHD обеспечивает реалистичную цветопередачу и четкость изображения. Просматривайте изображения вместе с родными и близкими. Цвета остаются неизменными даже под углом 178°.

## Не упустите ни одной детали

Ни одна деталь не будет упущена благодаря узкой рамке толщиной 3,7 мм, которая увеличивает соотношение габаритов экрана и корпуса до 92% и позволяет насладиться потрясающими изображениями. А если этого окажется мало, вы можете сделать процесс работы еще более удобным, подключив второй монитор посредством порта HDMI.

## Оригинальный дизайн

Сэкономьте пространство на рабочем столе с ультратонким компьютером-моноблоком 6,8 мм и найдите идеальное положение монитора благодаря регулируемому углу наклона от -5° до 25°. Надежная подставка обеспечивает отличную устойчивость."
,"Apple iMac 21,5"" A1418",https://i.ibb.co/jDD2gDt/10-1.jpg,Monitor,default,apple,64999,"Садитесь за iMac и приготовьтесь к невероятным ощущениям — его потрясающий большой экран заставит вас полностью забыть об окружающем мире. И чтобы подарить вам такие сильные впечатления, переосмыслена каждая концепция, переработана каждая деталь и усовершенствован iMac всеми возможными и невозможными способами.

Знаменитый компьютер «всё в одном». Отточен до грани возможного
Самый первый iMac произвёл своим появлением настоящую революцию. Уникальный компьютер «всё в одном»: дисплей, процессор, графическая система, устройство хранения данных, оперативная память и многое другое оказались заключенными в один простой и стильный корпус. С тех пор его не переставали совершенствовать и  планка поднята ещё выше.

iMac оснащён самым передовым, потрясающим дисплеем из всех, что когда-либо был создан. А внутри корпуса — множество новейших и эффективных технологий. При этом толщина корпуса по краю не превышает 5 мм, то есть объём iMac стал на 40% меньше, чем у его предшественников. Чтобы добиться таких потрясающих результатов, Apple пришлось применить все свои технические знания и подключить воображение. Компания сделала немало открытий, разработала новые методы производства и придумала, как оснастить компьютер новыми функциями с учётом его меньшего размера.

## Усовершенствованный экран

Это происходит совсем рядом с вами
Дисплей iMac не нужно закрывать стеклом, потому что он сам — стекло. Система светодиодной подсветки стала на 5 мм тоньше. Кроме того,  использован передовой метод полного ламинирования и устранен 2-миллиметровый зазор между подсветкой и стеклом. На таких больших дисплеях этого ещё никто не делал. Казалось бы, какое значение имеет пара миллиметров? Но выяснилось, что этого достаточно, чтобы добиться эффекта присутствия: изображение словно сходит с экрана прямо в комнату.

## На 75% меньше отражений

Полное ламинирование дало и другой положительный эффект: благодаря ему свет перестаёт отражаться от панели светодиодной подсветки и от задней поверхности защитного стекла. Также уменьшили отражение света от передней поверхности стекла, и при этом не снизилось качество цветопередачи. Компания Apple не стали пользоваться обычным способом нанесения покрытия, которое уменьшает уровень отражения. Вместо этого они решили применить метод, который используется для небольших поверхностей, например для объективов камер или авиационных шлемов. Это метод плазменного напыления: стекло покрывается настолько тонким и точным слоем диоксида кремния и пентоксида ниобия, что его толщина исчисляется в атомах. Результат — снижение уровня отражения на 75% и сохранение точной цветопередачи.

## Технология IPS и подсветка LED

Великолепный дисплей iMac выглядит потрясающе с любого угла просмотра. Технология плоскостного переключения in-plane switching (IPS) обеспечивает чёткое изображение и точную цветопередачу под любым углом. А подсветка LED гарантирует мгновенное включение и одинаковую яркость с самого начала и до конца. Так что вы в любую минуту можете продемонстрировать родным слайд-шоу своих фотографий из поездки.

## iMac и окружающая среда

Более энергоэффективен
iMac не только работает лучше, чем предыдущие модели, но ещё и потребляет меньше энергии — до 50% в режиме ожидания с включённым дисплеем. Совместная работа аппаратного и программного обеспечения организована таким образом, чтобы экономить ещё больше.

## Создан с заботой об окружающей среде

В новом iMac нет большинства токсинов, в том числе ртути, мышьяка, бромированных огнестойких добавок (BFR) и поливинилхлорида (ПВХ). Кроме того, он создан из материалов, которые пригодны для вторичной переработки, таких как алюминий и стекло.

## Новейшие процессоры Intel

Оснащённый процессорами Intel Core третьего поколения, iMac по скорости работы превосходит все аналоги. На каждую модель серии устанавливается четырёхъядерный процессор Intel Core.

## Новая графика nVidia

На всех моделях iMac установлены новые графические процессоры NVIDIA GeForce на базе архитектуры Kepler, которые обеспечивают на 60% более высокую производительность при выполнении сложных графических задач. Поэтому в 3D-играх отображается больше кадров в секунду, а редактировать свои видеозаписи в HD-качестве теперь ещё быстрее и удобнее, чем прежде.

## Fusion Drive

На iMac можно установить принципиально новый накопитель под названием Fusion Drive, в котором объединены вместительный жёсткий диск и высокопроизводительная флэш-память. Fusion Drive автоматически распределяет ваши данные таким образом, чтобы часто используемые приложения, документы, фотографии и другие файлы хранились на более быстром устройстве флэш-памяти, а редко использующиеся элементы перемещались на жёсткий диск. Благодаря этому компьютер быстрее загружается. А когда операционная система запомнит, с чем вы предпочитаете работать, она сможет быстрее запускать ваши любимые приложения и открывать файлы.

## Thunderbolt

Сверхскоростной многоцелевой порт Thunderbolt обеспечивает молниеносную передачу данных и невероятные возможности расширения. Вы сможете подключать высокопроизводительные периферийные устройства, такие как внешние диски, камеры, устройства для записи аудио и видео. Даже мониторы Mini DisplayPort, если вам нужны дополнительные экраны. На всех моделях iMac есть два порта Thunderbolt, так что вы сможете создать настольный компьютер для решения любых задач.

## Самая совершенная в мире компьютерная операционная система

OS X Mountain Lion использует все возможности передовых технологий, скрытых в корпусе каждого Mac. Благодаря ей с этим мощным компьютером так легко работать. Благодаря ей так удобно и естественно использовать жесты на трекпаде Multi-Touch. Благодаря ей можно найти, рассортировать и опубликовать любые материалы. А сервис iCloud позволяет синхронизировать работу Mac, iPhone, iPad и iPod touch."
